,CLASSNAME,VIEW_DATE,AREAUCKM,AREAMUNKM,MUNICIPALI,UF,LAT,LONG,base_url,name,event1_date_start,event1_date_end,event1_km2,event1_lat,event1_lon,event2_yes_within_2weeks,event2_date_start,event2_date_end,event2_km2,event2_lat,event2_lon
67,CICATRIZ_DE_QUEIMADA,2018-02-16,0.0,10.835418470799999,Xinguara,PA,-49.4699,-6.57029,"https://www.planet.com/explorer/#/mode/compare/interval/1%20day/center/-49.470,-6.570/zoom/13.49/dates/2018-02-02T00:00:00Z..2018-02-16T00:00:00Z/geometry/POLYGON((-49.42468795551135-6.57029,-49.4255566922686-6.579110432318299,-49.42812951747395-6.58759190036916,-49.43230755889762-6.595408466091853,-49.43793025675077-6.602259743249234,-49.44478153390815-6.607882441102385,-49.45259809963084-6.612060482526055,-49.4610795676817-6.614633307731405,-49.4699-6.615502044488652,-49.4787204323183-6.614633307731405,-49.48720190036916-6.612060482526055,-49.49501846609186-6.607882441102385,-49.50186974324924-6.602259743249234,-49.50749244110239-6.595408466091853,-49.51167048252606-6.58759190036916,-49.51424330773141-6.579110432318299,-49.51511204448865-6.57029,-49.51424330773141-6.561469567681701,-49.51167048252606-6.55298809963084,-49.50749244110239-6.545171533908147,-49.50186974324924-6.538320256750766,-49.49501846609186-6.532697558897615,-49.48720190036916-6.528519517473945,-49.4787204323183-6.525946692268595,-49.4699-6.525077955511348,-49.46107956768171-6.525946692268595,-49.45259809963084-6.528519517473945,-49.44478153390815-6.532697558897615,-49.43793025675077-6.538320256750766,-49.43230755889762-6.545171533908147,-49.42812951747395-6.55298809963084,-49.4255566922686-6.561469567681701,-49.42468795551135-6.57029))/items/PSScene4Band%320180214_130027_1032,PSScene4Band%320180214_130026_1032,PSScene4Band%320180208_130158_0e3a,PSScene4Band%320180208_130157_0e3a/comparing/result::PSScene4Band:1517616000000,result::PSScene4Band:1518652800000",,,,,,,,,,,,
260,CICATRIZ_DE_QUEIMADA,2020-07-27,0.0,12.5671671118,Caceres,MT,-58.0667,-16.286,"https://www.planet.com/explorer/#/mode/compare/interval/1%20day/center/-58.067,-16.286/zoom/13.49/dates/2020-07-13T00:00:00Z..2020-07-27T00:00:00Z/geometry/POLYGON((-58.02148795551135-16.286,-58.02235669226859-16.2948204323183,-58.02492951747394-16.30330190036916,-58.02910755889761-16.31111846609186,-58.03473025675076-16.31796974324924,-58.04158153390814-16.32359244110238,-58.04939809963084-16.32777048252606,-58.0578795676817-16.33034330773141,-58.0667-16.33121204448865,-58.07552043231829-16.33034330773141,-58.08400190036916-16.32777048252606,-58.09181846609185-16.32359244110238,-58.09866974324923-16.31796974324924,-58.10429244110238-16.31111846609186,-58.10847048252605-16.30330190036916,-58.1110433077314-16.2948204323183,-58.11191204448865-16.286,-58.1110433077314-16.2771795676817,-58.10847048252605-16.26869809963084,-58.10429244110238-16.26088153390815,-58.09866974324923-16.25403025675077,-58.09181846609185-16.24840755889762,-58.08400190036916-16.24422951747395,-58.0755204323183-16.2416566922686,-58.0667-16.24078795551135,-58.0578795676817-16.2416566922686,-58.04939809963084-16.24422951747395,-58.04158153390814-16.24840755889762,-58.03473025675076-16.25403025675077,-58.02910755889761-16.26088153390815,-58.02492951747394-16.26869809963084,-58.02235669226859-16.2771795676817,-58.02148795551135-16.286))/items/PSScene4Band%320200719_131940_55_2223,PSScene4Band%320200719_131942_76_2223,PSScene4Band%320200726_134627_1001,PSScene4Band%320200726_134626_1001,PSScene4Band%320200724_134605_101b,PSScene4Band%320200724_134604_101b,PSScene4Band%320200724_134603_101b,PSScene4Band%320200721_134552_1032,PSScene4Band%320200721_134551_1032,PSScene4Band%320200721_134550_1032,PSScene4Band%320200721_123749_0f44,PSScene4Band%320200721_123748_0f44,PSScene4Band%320200720_145051_50_106e,PSScene4Band%320200720_145049_95_106e,PSScene4Band%320200720_145053_05_106e,PSScene4Band%320200720_134746_101b,PSScene4Band%320200720_134745_101b,PSScene4Band%320200720_134744_101b,PSScene4Band%320200719_141601_77_1060,PSScene4Band%320200719_141559_76_1060,PSScene4Band%320200717_133112_0e26,PSScene4Band%320200717_133111_0e26,PSScene4Band%320200716_134925_101b,PSScene4Band%320200716_134924_101b,PSScene4Band%320200714_134610_1003,PSScene4Band%320200714_134609_1003,PSScene4Band%320200713_124451_0f2e,PSScene4Band%320200713_124450_0f2e/comparing/result::PSScene4Band:1594684800000,result::PSScene4Band:1595721600000",,,,,,,,,,,,
268,CICATRIZ_DE_QUEIMADA,2016-10-09,60.6276742587,60.6276742587,Lagoa da Confusao,TO,-50.1228,-10.9332,"https://www.planet.com/explorer/#/mode/compare/interval/1%20day/center/-50.123,-10.933/zoom/13.49/dates/2016-09-25T00:00:00Z..2016-10-09T00:00:00Z/geometry/POLYGON((-50.07758795551135-10.9332,-50.0784566922686-10.9420204323183,-50.08102951747394-10.95050190036916,-50.08520755889761-10.95831846609185,-50.09083025675076-10.96516974324923,-50.09768153390814-10.97079244110238,-50.10549809963084-10.97497048252605,-50.1139795676817-10.97754330773141,-50.1228-10.97841204448865,-50.13162043231829-10.97754330773141,-50.14010190036916-10.97497048252605,-50.14791846609185-10.97079244110238,-50.15476974324923-10.96516974324923,-50.16039244110238-10.95831846609185,-50.16457048252605-10.95050190036916,-50.1671433077314-10.9420204323183,-50.16801204448865-10.9332,-50.1671433077314-10.9243795676817,-50.16457048252605-10.91589809963084,-50.16039244110238-10.90808153390815,-50.15476974324923-10.90123025675077,-50.14791846609185-10.89560755889761,-50.14010190036916-10.89142951747395,-50.1316204323183-10.88885669226859,-50.1228-10.88798795551135,-50.1139795676817-10.88885669226859,-50.10549809963084-10.89142951747395,-50.09768153390814-10.89560755889761,-50.09083025675076-10.90123025675077,-50.08520755889761-10.90808153390815,-50.08102951747394-10.91589809963084,-50.0784566922686-10.9243795676817,-50.07758795551135-10.9332))/items/PSScene4Band%320160927_124840_0e16,PSScene4Band%320160927_124839_0e16,PSScene4Band%320161001_181717_0c65,PSScene4Band%320161001_181716_0c65,PSScene4Band%320161001_181715_0c65,PSScene4Band%320160929_124737_0e26,PSScene4Band%320160929_124738_0e26/comparing/result::PSScene4Band:1474848000000,result::PSScene4Band:1475884800000",,,,,,,,,,,,
347,CICATRIZ_DE_QUEIMADA,2018-03-05,0.0,14.5436446809,Sao Felix do Xingu,PA,-52.293,-6.78268,"https://www.planet.com/explorer/#/mode/compare/interval/1%20day/center/-52.293,-6.783/zoom/13.49/dates/2018-02-19T00:00:00Z..2018-03-05T00:00:00Z/geometry/POLYGON((-52.24778795551135-6.78268,-52.2486566922686-6.791500432318299,-52.25122951747394-6.79998190036916,-52.25540755889762-6.807798466091853,-52.26103025675076-6.814649743249234,-52.26788153390815-6.820272441102385,-52.27569809963084-6.824450482526055,-52.2841795676817-6.827023307731405,-52.293-6.827892044488652,-52.30182043231829-6.827023307731405,-52.31030190036916-6.824450482526055,-52.31811846609185-6.820272441102385,-52.32496974324923-6.814649743249234,-52.33059244110238-6.807798466091853,-52.33477048252605-6.79998190036916,-52.3373433077314-6.791500432318299,-52.33821204448865-6.78268,-52.3373433077314-6.773859567681701,-52.33477048252605-6.76537809963084,-52.33059244110238-6.757561533908147,-52.32496974324923-6.750710256750766,-52.31811846609185-6.745087558897615,-52.31030190036916-6.740909517473945,-52.3018204323183-6.738336692268595,-52.293-6.737467955511348,-52.2841795676817-6.738336692268595,-52.27569809963084-6.740909517473945,-52.26788153390815-6.745087558897615,-52.26103025675076-6.750710256750766,-52.25540755889762-6.757561533908147,-52.25122951747394-6.76537809963084,-52.2486566922686-6.773859567681701,-52.24778795551135-6.78268))/items/PSScene4Band%320180304_122719_0d05,PSScene4Band%320180304_122718_1_0d05,PSScene4Band%320180304_122718_0d05,PSScene4Band%320180303_142455_0f21,PSScene4Band%320180303_131416_0e0f,PSScene4Band%320180303_131415_0e0f,PSScene4Band%320180302_131141_103d,PSScene4Band%320180302_131140_103d,PSScene4Band%320180220_142748_0f44,PSScene4Band%320180220_142747_0f44,PSScene4Band%320180220_131200_1027/comparing/result::PSScene4Band:1519084800000,result::PSScene4Band:1520121600000",,,,,,,,,,,,
454,CICATRIZ_DE_QUEIMADA,2020-07-30,0.0,11.7946146923,Sao Felix do Araguaia,MT,-51.8501,-11.573,"https://www.planet.com/explorer/#/mode/compare/interval/1%20day/center/-51.850,-11.573/zoom/13.49/dates/2020-07-16T00:00:00Z..2020-07-30T00:00:00Z/geometry/POLYGON((-51.80488795551135-11.573,-51.8057566922686-11.5818204323183,-51.80832951747394-11.59030190036916,-51.81250755889761-11.59811846609185,-51.81813025675076-11.60496974324923,-51.82498153390814-11.61059244110239,-51.83279809963084-11.61477048252605,-51.8412795676817-11.61734330773141,-51.8501-11.61821204448865,-51.85892043231829-11.61734330773141,-51.86740190036916-11.61477048252605,-51.87521846609185-11.61059244110239,-51.88206974324923-11.60496974324923,-51.88769244110238-11.59811846609185,-51.89187048252605-11.59030190036916,-51.8944433077314-11.5818204323183,-51.89531204448865-11.573,-51.8944433077314-11.5641795676817,-51.89187048252605-11.55569809963084,-51.88769244110238-11.54788153390815,-51.88206974324923-11.54103025675077,-51.87521846609185-11.53540755889762,-51.86740190036916-11.53122951747395,-51.8589204323183-11.52865669226859,-51.8501-11.52778795551135,-51.8412795676817-11.52865669226859,-51.83279809963084-11.53122951747395,-51.82498153390814-11.53540755889762,-51.81813025675076-11.54103025675077,-51.81250755889761-11.54788153390815,-51.80832951747394-11.55569809963084,-51.8057566922686-11.5641795676817,-51.80488795551135-11.573))/items/PSScene4Band%320200729_133818_1105,PSScene4Band%320200729_133817_1105,PSScene4Band%320200726_132533_1010,PSScene4Band%320200726_132532_1010,PSScene4Band%320200725_131243_0e3a,PSScene4Band%320200725_131242_0e3a,PSScene4Band%320200724_125853_91_2257,PSScene4Band%320200724_125851_69_2257,PSScene4Band%320200722_132728_0f22,PSScene4Band%320200722_132727_0f22,PSScene4Band%320200721_121134_1_0f49,PSScene4Band%320200721_121134_0f49,PSScene4Band%320200721_121133_0f49,PSScene4Band%320200720_121333_1049,PSScene4Band%320200720_121332_1049,PSScene4Band%320200720_132649_1034,PSScene4Band%320200720_132648_1034,PSScene4Band%320200718_125807_91_2263,PSScene4Band%320200718_125810_11_2263,PSScene4Band%320200717_132550_0f34,PSScene4Band%320200717_132549_0f34,PSScene4Band%320200717_132415_1035,PSScene4Band%320200716_142508_55_1063,PSScene4Band%320200716_142510_10_1063/comparing/result::PSScene4Band:1594944000000,result::PSScene4Band:1595980800000",,,,,,,,,,,,
701,CICATRIZ_DE_QUEIMADA,2017-11-18,0.0,11.5120192614,Bom Jesus do Tocantins,PA,-48.8529,-5.26143,"https://www.planet.com/explorer/#/mode/compare/interval/1%20day/center/-48.853,-5.261/zoom/13.49/dates/2017-11-04T00:00:00Z..2017-11-18T00:00:00Z/geometry/POLYGON((-48.80768795551135-5.26143,-48.8085566922686-5.270250432318298,-48.81112951747394-5.27873190036916,-48.81530755889762-5.286548466091853,-48.82093025675076-5.293399743249234,-48.82778153390814-5.299022441102385,-48.83559809963084-5.303200482526055,-48.8440795676817-5.305773307731405,-48.8529-5.306642044488652,-48.86172043231829-5.305773307731405,-48.87020190036916-5.303200482526055,-48.87801846609185-5.299022441102385,-48.88486974324923-5.293399743249234,-48.89049244110238-5.286548466091853,-48.89467048252605-5.27873190036916,-48.8972433077314-5.270250432318298,-48.89811204448865-5.26143,-48.8972433077314-5.252609567681701,-48.89467048252605-5.244128099630839,-48.89049244110238-5.236311533908147,-48.88486974324923-5.229460256750766,-48.87801846609185-5.223837558897615,-48.87020190036916-5.219659517473945,-48.8617204323183-5.217086692268595,-48.8529-5.216217955511348,-48.8440795676817-5.217086692268595,-48.83559809963084-5.219659517473945,-48.82778153390814-5.223837558897615,-48.82093025675076-5.229460256750766,-48.81530755889762-5.236311533908147,-48.81112951747394-5.244128099630839,-48.8085566922686-5.252609567681701,-48.80768795551135-5.26143))/items/PSScene4Band%320171113_113131_0c38,PSScene4Band%320171113_113130_0c38,PSScene4Band%320171117_142528_1051,PSScene4Band%320171113_115037_0c54,PSScene4Band%320171113_115036_0c54,PSScene4Band%320171113_115035_0c54,PSScene4Band%320171113_113132_0c38,PSScene4Band%320171113_125546_103d,PSScene4Band%320171113_125545_103d,PSScene4Band%320171110_142825_0f53,PSScene4Band%320171110_142826_0f53,PSScene4Band%320171110_125400_101f,PSScene4Band%320171110_125359_101f,PSScene4Band%320171110_125303_0f35,PSScene4Band%320171110_125302_0f35,PSScene4Band%320171107_125624_101e,PSScene4Band%320171107_125623_101e/comparing/result::PSScene4Band:1509840000000,result::PSScene4Band:1510876800000",,,,,,,,,,,,
820,CICATRIZ_DE_QUEIMADA,2017-11-18,0.0,30.349809001999997,Sao Geraldo do Araguaia,PA,-48.7173,-5.95274,"https://www.planet.com/explorer/#/mode/compare/interval/1%20day/center/-48.717,-5.953/zoom/13.49/dates/2017-11-04T00:00:00Z..2017-11-18T00:00:00Z/geometry/POLYGON((-48.67208795551135-5.95274,-48.6729566922686-5.961560432318299,-48.67552951747395-5.970041900369161,-48.67970755889762-5.977858466091853,-48.68533025675077-5.984709743249234,-48.69218153390815-5.990332441102385,-48.69999809963084-5.994510482526056,-48.7084795676817-5.997083307731406,-48.7173-5.997952044488652,-48.7261204323183-5.997083307731406,-48.73460190036916-5.994510482526056,-48.74241846609186-5.990332441102385,-48.74926974324924-5.984709743249234,-48.75489244110238-5.977858466091853,-48.75907048252606-5.970041900369161,-48.7616433077314-5.961560432318299,-48.76251204448865-5.95274,-48.7616433077314-5.943919567681702,-48.75907048252606-5.93543809963084,-48.75489244110238-5.927621533908147,-48.74926974324924-5.920770256750767,-48.74241846609186-5.915147558897615,-48.73460190036916-5.910969517473945,-48.7261204323183-5.908396692268595,-48.7173-5.907527955511348,-48.70847956768171-5.908396692268595,-48.69999809963084-5.910969517473945,-48.69218153390815-5.915147558897615,-48.68533025675077-5.920770256750767,-48.67970755889762-5.927621533908147,-48.67552951747395-5.93543809963084,-48.6729566922686-5.943919567681702,-48.67208795551135-5.95274))/items/PSScene4Band%320171105_131423_1_0c79,PSScene4Band%320171105_131422_0c79,PSScene4Band%320171105_131421_1_0c79,PSScene4Band%320171105_131421_0c79,PSScene4Band%320171110_142814_0f53,PSScene4Band%320171110_125313_0f35,PSScene4Band%320171110_125312_0f35,PSScene4Band%320171105_125422_1032,PSScene4Band%320171105_125421_1032,PSScene4Band%320171105_125707_0e0f,PSScene4Band%320171105_125706_0e0f,PSScene4Band%320171105_125705_0e0f/comparing/result::PSScene4Band:1509840000000,result::PSScene4Band:1510876800000",,,,,,,,,,,,
830,CICATRIZ_DE_QUEIMADA,2017-10-03,0.0,17.214855036,Grajau,MA,-45.8613,-5.91786,"https://www.planet.com/explorer/#/mode/compare/interval/1%20day/center/-45.861,-5.918/zoom/13.49/dates/2017-09-19T00:00:00Z..2017-10-03T00:00:00Z/geometry/POLYGON((-45.81608795551135-5.91786,-45.8169566922686-5.926680432318299,-45.81952951747395-5.93516190036916,-45.82370755889762-5.942978466091853,-45.82933025675077-5.949829743249234,-45.83618153390815-5.955452441102385,-45.84399809963084-5.959630482526055,-45.8524795676817-5.962203307731405,-45.8613-5.963072044488652,-45.87012043231829-5.962203307731405,-45.87860190036916-5.959630482526055,-45.88641846609185-5.955452441102385,-45.89326974324923-5.949829743249234,-45.89889244110238-5.942978466091853,-45.90307048252605-5.93516190036916,-45.9056433077314-5.926680432318299,-45.90651204448865-5.91786,-45.9056433077314-5.909039567681702,-45.90307048252605-5.90055809963084,-45.89889244110238-5.892741533908147,-45.89326974324923-5.885890256750766,-45.88641846609185-5.880267558897615,-45.87860190036916-5.876089517473945,-45.8701204323183-5.873516692268595,-45.8613-5.872647955511348,-45.8524795676817-5.873516692268595,-45.84399809963084-5.876089517473945,-45.83618153390815-5.880267558897615,-45.82933025675077-5.885890256750766,-45.82370755889762-5.892741533908147,-45.81952951747395-5.90055809963084,-45.8169566922686-5.909039567681702,-45.81608795551135-5.91786))/items/PSScene4Band%320170924_142338_1052,PSScene4Band%320170924_142339_1052,PSScene4Band%320170930_142305_1051,PSScene4Band%320170930_142303_1051,PSScene4Band%320170930_142304_1051,PSScene4Band%320170927_142404_1050,PSScene4Band%320170927_142405_1050,PSScene4Band%320170923_142414_0f46,PSScene4Band%320170923_142413_0f46,PSScene4Band%320171001_124115_1009,PSScene4Band%320171001_124114_1009,PSScene4Band%320171001_124113_1009,PSScene4Band%320170930_124108_103d,PSScene4Band%320170930_124107_103d,PSScene4Band%320170929_142323_0f47,PSScene4Band%320170929_142324_0f47,PSScene4Band%320170927_124143_1029,PSScene4Band%320170927_124142_1029,PSScene4Band%320170926_142348_0f53,PSScene4Band%320170926_142347_0f53,PSScene4Band%320170926_123940_0f15,PSScene4Band%320170926_123939_0f15,PSScene4Band%320170926_124035_0f12,PSScene4Band%320170926_124034_0f12,PSScene4Band%320170926_163348_1_0c19,PSScene4Band%320170924_142426_1053,PSScene4Band%320170924_142425_1053,PSScene4Band%320170924_142424_1053,PSScene4Band%320170922_124206_0f18,PSScene4Band%320170922_124205_0f18,PSScene4Band%320170922_182559_1_0d06,PSScene4Band%320170921_124035_103d,PSScene4Band%320170921_124034_103d,PSScene4Band%320170921_124033_103d,PSScene4Band%320170921_182927_0c22,PSScene4Band%320170921_182926_1_0c22,PSScene4Band%320170921_182926_0c22,PSScene4Band%320170920_124046_102e,PSScene4Band%320170920_124045_102e,PSScene4Band%320170920_124044_102e,PSScene4Band%320170920_123955_1044,PSScene4Band%320170920_123953_1044,PSScene4Band%320170919_124042_1036,PSScene4Band%320170919_124041_1036,PSScene4Band%320170919_124040_1036/comparing/result::PSScene4Band:1505865600000,result::PSScene4Band:1506902400000",,,,,,,,,,,,
864,CICATRIZ_DE_QUEIMADA,2017-11-12,0.0,10.9245699504,Altamira,PA,-55.0776,-6.73091,"https://www.planet.com/explorer/#/mode/compare/interval/1%20day/center/-55.078,-6.731/zoom/13.49/dates/2017-10-29T00:00:00Z..2017-11-12T00:00:00Z/geometry/POLYGON((-55.03238795551135-6.73091,-55.03325669226859-6.739730432318298,-55.03582951747394-6.74821190036916,-55.04000755889761-6.756028466091853,-55.04563025675076-6.762879743249234,-55.05248153390814-6.768502441102385,-55.06029809963083-6.772680482526055,-55.06877956768169-6.775253307731405,-55.0776-6.776122044488652,-55.08642043231829-6.775253307731405,-55.09490190036916-6.772680482526055,-55.10271846609185-6.768502441102385,-55.10956974324923-6.762879743249234,-55.11519244110238-6.756028466091853,-55.11937048252605-6.74821190036916,-55.1219433077314-6.739730432318298,-55.12281204448865-6.73091,-55.1219433077314-6.722089567681701,-55.11937048252605-6.713608099630839,-55.11519244110238-6.705791533908147,-55.10956974324923-6.698940256750766,-55.10271846609185-6.693317558897615,-55.09490190036916-6.689139517473945,-55.0864204323183-6.686566692268594,-55.0776-6.685697955511348,-55.0687795676817-6.686566692268594,-55.06029809963083-6.689139517473945,-55.05248153390814-6.693317558897615,-55.04563025675076-6.698940256750766,-55.04000755889761-6.705791533908147,-55.03582951747394-6.713608099630839,-55.03325669226859-6.722089567681701,-55.03238795551135-6.73091))/items/PSScene4Band%320171109_131833_1001,PSScene4Band%320171108_145428_101c,PSScene4Band%320171108_145427_101c,PSScene4Band%320171108_132014_1014,PSScene4Band%320171108_132015_1014,PSScene4Band%320171104_131915_0f1b,PSScene4Band%320171104_131914_0f1b,PSScene4Band%320171104_145504_104b,PSScene4Band%320171104_145503_104b,PSScene4Band%320171103_131840_0f28,PSScene4Band%320171103_131839_0f28,PSScene4Band%320171103_145511_0f3d,PSScene4Band%320171029_131927_0f34,PSScene4Band%320171029_131925_0f34,PSScene4Band%320171029_131926_0f34/comparing/result::PSScene4Band:1509321600000,result::PSScene4Band:1510358400000",,,,,,,,,,,,
866,CICATRIZ_DE_QUEIMADA,2017-11-12,0.0,12.0317008966,Altamira,PA,-55.0543,-6.69219,"https://www.planet.com/explorer/#/mode/compare/interval/1%20day/center/-55.054,-6.692/zoom/13.49/dates/2017-10-29T00:00:00Z..2017-11-12T00:00:00Z/geometry/POLYGON((-55.00908795551135-6.69219,-55.0099566922686-6.701010432318299,-55.01252951747394-6.70949190036916,-55.01670755889761-6.717308466091853,-55.02233025675076-6.724159743249234,-55.02918153390814-6.729782441102385,-55.03699809963084-6.733960482526055,-55.0454795676817-6.736533307731405,-55.0543-6.737402044488652,-55.06312043231829-6.736533307731405,-55.07160190036916-6.733960482526055,-55.07941846609185-6.729782441102385,-55.08626974324923-6.724159743249234,-55.09189244110238-6.717308466091853,-55.09607048252605-6.70949190036916,-55.0986433077314-6.701010432318299,-55.09951204448865-6.69219,-55.0986433077314-6.683369567681702,-55.09607048252605-6.67488809963084,-55.09189244110238-6.667071533908147,-55.08626974324923-6.660220256750766,-55.07941846609185-6.654597558897615,-55.07160190036916-6.650419517473945,-55.0631204323183-6.647846692268595,-55.0543-6.646977955511348,-55.0454795676817-6.647846692268595,-55.03699809963084-6.650419517473945,-55.02918153390814-6.654597558897615,-55.02233025675076-6.660220256750766,-55.01670755889761-6.667071533908147,-55.01252951747394-6.67488809963084,-55.0099566922686-6.683369567681702,-55.00908795551135-6.69219))/items/PSScene4Band%320171109_131833_1001,PSScene4Band%320171108_145429_101c,PSScene4Band%320171108_145428_101c,PSScene4Band%320171108_145427_101c,PSScene4Band%320171108_132014_1014,PSScene4Band%320171108_132013_1014,PSScene4Band%320171104_131914_0f1b,PSScene4Band%320171104_131913_0f1b,PSScene4Band%320171104_145505_104b,PSScene4Band%320171104_145504_104b,PSScene4Band%320171104_145503_104b,PSScene4Band%320171103_131840_0f28,PSScene4Band%320171103_131839_0f28,PSScene4Band%320171103_131838_0f28,PSScene4Band%320171103_145511_0f3d,PSScene4Band%320171029_131925_0f34,PSScene4Band%320171029_145529_104b,PSScene4Band%320171029_145528_104b,PSScene4Band%320171029_131926_0f34/comparing/result::PSScene4Band:1509321600000,result::PSScene4Band:1510358400000",,,,,,,,,,,,
